//======================================
//WEAPONS
//======================================
//Cool Pistol
weapon/cpistol      COLPISF
Hunk/Act HUNKACT
$Random Hunk/Atk { Hunk/Atk1 Hunk/Atk2}
Hunk/Atk1 HUNKAK1
Hunk/Atk2 HUNKAK2
$Random Hunk/Death { Hunk/Death1 Hunk/Death2}
Hunk/Death1 HUNKDE1
Hunk/Death2 HUNKDE2

//Bipod
Bipod/Act BIPODACT
Bipod/See1 BIPODSE1
Bipod/See2 BIPODSE2
Bipod/Death1 BIPODDE1
Bipod/Death2 BIPODDE2
Bipod/Death3 BIPODDE3
$Random Bipod/See { Bipod/See1 Bipod/See2 }
$Random Bipod/Death { Bipod/Death1 Bipod/Death2 Bipod/Death3 }

//Ailoprobe
ailo/see          DSAILSEE
ailo/death        DSAILDTH

//
//======================================
//ITEMS AND MISC
//======================================

weapons/getweapon01		dsgetw01
weapons/getweapon02		dsgetw02
weapons/getweapon03		dsgetw03
weapons/getweapon04		dsgetw04
weapons/getweapon05		dsgetw05
weapons/getweapon06		dsgetw06
weapons/getweapon07		dsgetw07
weapons/getweapon08		dsgetw08
weapons/getweapon09		dsgetw09
weapons/getweapon10		dsgetw10
weapons/getweapon11		dsgetw11
weapons/getweapon12		dsgetw12
weapons/getweapon13		dsgetw13
weapons/getweapon14		dsgetw14

$random weapons/bulletcasing		{weapons/bulletcasing1 weapons/bulletcasing2 weapons/bulletcasing3 weapons/bulletcasing4 weapons/bulletcasing5 weapons/bulletcasing6 weapons/bulletcasing7}

weapons/bulletcasing1			DSCASIN1
weapons/bulletcasing2			DSCASIN2
weapons/bulletcasing3			DSCASIN3
weapons/bulletcasing4			DSCASIN4
weapons/bulletcasing5			DSCASIN5
weapons/bulletcasing6			DSCASIN6
weapons/bulletcasing7			DSCASIN7

$random weapons/shellcasing		{weapons/shellcasing1 weapons/shellcasing2 weapons/shellcasing3}

weapons/shellcasing1			DSSHELL1
weapons/shellcasing2			DSSHELL2
weapons/shellcasing3			DSSHELL3

//Puff
$random puff/ric {puff/ric1 puff/ric2 puff/ric3 puff/ric4 puff/ric5 puff/ric6 puff/ric7 puff/ric8 puff/ric9 puff/ric10 puff/ric11 puff/ric12 puff/ric13 puff/ric14 puff/ric15 puff/ric16 puff/ric17 puff/ric18 puff/ric19 puff/ric20 puff/ric21 puff/ric22 puff/ric23 puff/ric24 puff/ric25 puff/ric26 puff/ric27 puff/ric28 puff/ric29 puff/ric30 puff/rica puff/ricb puff/ricc puff/ricd puff/rice puff/ricf puff/ricg puff/rich puff/rici puff/ricj puff/rick puff/ricl puff/ricm puff/ricn puff/rico puff/ricp puff/ricq puff/ricr puff/rics puff/rict puff/ricu puff/ricv}

puff/ric1				dsric1
puff/ric2				dsric2
puff/ric3				dsric3
puff/ric4				dsric4
puff/ric5				dsric5
puff/ric6				dsric6
puff/ric7				dsric7
puff/ric8				dsric8
puff/ric9				dsric9
puff/ric10				dsric10
puff/ric11				dsric11
puff/ric12				dsric12
puff/ric13				dsric13
puff/ric14				dsric14
puff/ric15				dsric15
puff/ric16				dsric16
puff/ric17				dsric17
puff/ric18				dsric18
puff/ric19				dsric19
puff/ric20				dsric20
puff/ric21				dsric21
puff/ric22				dsric22
puff/ric23				dsric23
puff/ric24				dsric24
puff/ric25				dsric25
puff/ric26				dsric26
puff/ric27				dsric27
puff/ric28				dsric28
puff/ric29				dsric29
puff/ric30				dsric30
puff/rica				dsnull
puff/ricb				dsnull
puff/ricc				dsnull
puff/ricd				dsnull
puff/rice				dsnull
puff/ricf				dsnull
puff/ricg				dsnull
puff/rich				dsnull
puff/rici				dsnull
puff/ricj				dsnull
puff/rick				dsnull
puff/ricl				dsnull
puff/ricm				dsnull
puff/ricn				dsnull
puff/rico				dsnull
puff/ricp				dsnull
puff/ricq				dsnull
puff/ricr				dsnull
puff/rics				dsnull
puff/rict				dsnull
puff/ricu				dsnull
puff/ricv				dsnull

// Blood Splats
bloodsplat1 dsblud01
bloodsplat2 dsblud02
bloodsplat3 dsblud03

$random bloodsplat { bloodsplat1 bloodsplat2 bloodsplat3 }
$limit bloodsplat 1

//Teleport Sounds
$Random misc/teleport { TELE1 TELE2 TELE3 TELE4 TELE5 TELE6 }
TELE1		DSTELE1
TELE2		DSTELE2
TELE3		DSTELE3
TELE4		DSTELE4
TELE5		DSTELE5
TELE6		DSTELE6

DSHEVILE DSHEVIL
items/getinvadrenaline		DSPORTH
items/adrenaline		dsadrn
items/getinvautodetectmine	dsinvadm
items/autodetectminelook	dsadml
items/autodetectmineshutdown	dsadms
items/autodetectmineexplode	dsadme

DSFRZE		DSFRZE
DSSEARM     DSSEARM
DSSEPILL    DSSEPILL
DSARMOUP    DSARMOUP
DSHEALSP    DSHEALSP
DSBLUD01    DSBLUD01

items/healingheart		dshhrt
items/healingheartbeat	        dshhrtbt

doub/up				dsdoubup

dsBDYBRN	dsBDYBRN

weapons/bfg12850shot2		dsb12s2
weapons/bfg12850explode2	dsb12e2
items/getinvteleporter		dsinvtlp
items/teleporteron		dstlpo
items/teleporteractive		dstlpr
items/teleportershutdown	dstlps
items/teleporterdestroy		dstlds

NOPE           NOPE
